track_id,name,artist,album,release_date,popularity,spotify_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0LZy30mVmxqUpdQmaXKXBd,ADIVINO,Myke Towers,ADIVINO,2024-04-25,79,https://open.spotify.com/track/0LZy30mVmxqUpdQmaXKXBd,0.786,0.854,10,-2.4,0,0.0741,0.169,2.39e-05,0.106,0.522,117.994,audio_features,spotify:track:0LZy30mVmxqUpdQmaXKXBd,https://api.spotify.com/v1/tracks/0LZy30mVmxqUpdQmaXKXBd,https://api.spotify.com/v1/audio-analysis/0LZy30mVmxqUpdQmaXKXBd,278644,4
6JDf3oDiHpOaWAw7a0GgA5,Media Hora,Yan Block,Media Hora,2024-08-30,72,https://open.spotify.com/track/6JDf3oDiHpOaWAw7a0GgA5,0.825,0.609,1,-7.415,1,0.217,0.224,6.88e-05,0.159,0.643,94.968,audio_features,spotify:track:6JDf3oDiHpOaWAw7a0GgA5,https://api.spotify.com/v1/tracks/6JDf3oDiHpOaWAw7a0GgA5,https://api.spotify.com/v1/audio-analysis/6JDf3oDiHpOaWAw7a0GgA5,123158,4
63pLfjK6FvcYJYMGwtHjd6,SORRY 4 THAT MUCH,Feid,SORRY 4 THAT MUCH,2024-06-07,83,https://open.spotify.com/track/63pLfjK6FvcYJYMGwtHjd6,0.819,0.675,7,-4.281,1,0.0727,0.0318,0.0,0.289,0.602,92.99,audio_features,spotify:track:63pLfjK6FvcYJYMGwtHjd6,https://api.spotify.com/v1/tracks/63pLfjK6FvcYJYMGwtHjd6,https://api.spotify.com/v1/audio-analysis/63pLfjK6FvcYJYMGwtHjd6,207747,4
4MAv7MqIlcaTBHGiUXIWiw,SI NO ES CONTIGO - REMIX,Cris Mj,SI NO ES CONTIGO (REMIX),2024-10-17,78,https://open.spotify.com/track/4MAv7MqIlcaTBHGiUXIWiw,0.732,0.74,0,-4.281,1,0.0302,0.0452,9.8e-05,0.127,0.681,99.995,audio_features,spotify:track:4MAv7MqIlcaTBHGiUXIWiw,https://api.spotify.com/v1/tracks/4MAv7MqIlcaTBHGiUXIWiw,https://api.spotify.com/v1/audio-analysis/4MAv7MqIlcaTBHGiUXIWiw,254501,4
3XB5uhhlYSnkxpSihkNQwh,QLONA,KAROL G,MAÑANA SERÁ BONITO (BICHOTA SEASON),2023-08-11,72,https://open.spotify.com/track/3XB5uhhlYSnkxpSihkNQwh,0.843,0.741,7,-7.486,0,0.293,0.541,1.88e-06,0.0879,0.45,169.933,audio_features,spotify:track:3XB5uhhlYSnkxpSihkNQwh,https://api.spotify.com/v1/tracks/3XB5uhhlYSnkxpSihkNQwh,https://api.spotify.com/v1/audio-analysis/3XB5uhhlYSnkxpSihkNQwh,172798,4
2btNsI4OvcVl7SAHQQDHFB,Mírame,Blessd,Mírame,2024-04-17,85,https://open.spotify.com/track/2btNsI4OvcVl7SAHQQDHFB,0.717,0.656,7,-4.449,1,0.0797,0.141,2.96e-05,0.0661,0.695,175.956,audio_features,spotify:track:2btNsI4OvcVl7SAHQQDHFB,https://api.spotify.com/v1/tracks/2btNsI4OvcVl7SAHQQDHFB,https://api.spotify.com/v1/audio-analysis/2btNsI4OvcVl7SAHQQDHFB,157453,4
3w1h7uNU1Dfk2tOaHiIGat,PERO NO TE ENAMORES,Fuerza Regida,PERO NO TE ENAMORES,2024-07-25,80,https://open.spotify.com/track/3w1h7uNU1Dfk2tOaHiIGat,0.724,0.886,8,-5.607,0,0.0325,0.348,0.0132,0.107,0.827,118.044,audio_features,spotify:track:3w1h7uNU1Dfk2tOaHiIGat,https://api.spotify.com/v1/tracks/3w1h7uNU1Dfk2tOaHiIGat,https://api.spotify.com/v1/audio-analysis/3w1h7uNU1Dfk2tOaHiIGat,183847,3
0WdPVwDY2QU9941QsRJXhZ,Passoa,JHAYCO,Le Clique: Vida Rockstar (X),2024-09-06,71,https://open.spotify.com/track/0WdPVwDY2QU9941QsRJXhZ,0.867,0.524,6,-5.353,0,0.0599,0.254,0.0,0.134,0.72,102.983,audio_features,spotify:track:0WdPVwDY2QU9941QsRJXhZ,https://api.spotify.com/v1/tracks/0WdPVwDY2QU9941QsRJXhZ,https://api.spotify.com/v1/audio-analysis/0WdPVwDY2QU9941QsRJXhZ,309280,4
7lcbpfihslisNObKdHjyLo,IA,Clarent,IA,2024-10-17,74,https://open.spotify.com/track/7lcbpfihslisNObKdHjyLo,0.706,0.631,0,-5.812,0,0.0366,0.656,0.0,0.227,0.289,111.93,audio_features,spotify:track:7lcbpfihslisNObKdHjyLo,https://api.spotify.com/v1/tracks/7lcbpfihslisNObKdHjyLo,https://api.spotify.com/v1/audio-analysis/7lcbpfihslisNObKdHjyLo,171429,4
0reBZSEtwbvqkXoWGtmV0k,Sale Para Ser Feliz,Ivan Cornejo,MIRADA,2024-07-19,74,https://open.spotify.com/track/0reBZSEtwbvqkXoWGtmV0k,0.593,0.498,9,-9.042,0,0.0417,0.33,0.0,0.102,0.18,153.102,audio_features,spotify:track:0reBZSEtwbvqkXoWGtmV0k,https://api.spotify.com/v1/tracks/0reBZSEtwbvqkXoWGtmV0k,https://api.spotify.com/v1/audio-analysis/0reBZSEtwbvqkXoWGtmV0k,192499,3
